participant_id,age,gender,hearing_problems,speech_problems,years_actively_using_music_tech,frequency_using_music_tech,years_actively_making_music,frequency_making_music,years_actively_singing,frequency_singing
5149218708652032,29,f,False,False,0.0,Never,0.0,Never,0.0,Never
5162772954349568,29,f,False,False,12.0,Less than once or twice a year,0.0,Less than once or twice a year,0.0,Once or twice a month
5215103574081536,29,m,False,False,5.0,Once or twice a month,22.0,Once or twice a week,2.0,Once or twice a year
5367727988408320,29,f,False,False,0.0,Never,0.0,Never,0.0,Never
5670405876482048,29,m,False,False,15.0,Once or twice a month,0.0,Never,0.0,Never
5683406138507264,29,f,False,False,24.0,Less than once or twice a year,0.0,Never,15.0,Once or twice a week
5688716597133312,29,m,False,False,10.0,More than once or twice a week,10.0,More than once or twice a week,10.0,More than once or twice a week
5707532110659584,29,m,False,False,0.0,Never,0.0,Never,15.0,Once or twice a week
5730634941071360,29,m,False,False,12.0,Once or twice a week,4.0,Never,2.0,Never
5745111329669120,29,m,False,False,80.0,More than once or twice a week,43.0,More than once or twice a week,27.0,More than once or twice a week
5745865499082752,29,f,False,False,0.0,Never,0.0,Never,0.0,Never
5937113413451776,29,m,False,False,0.0,Never,0.0,Never,0.0,Never
6088856755503104,29,f,False,False,14.0,Less than once or twice a year,10.0,Less than once or twice a year,4.0,Less than once or twice a year
6226078947344384,29,f,False,False,0.0,Never,0.0,Never,0.0,Less than once or twice a year
6291707255586816,29,f,False,False,17.0,Once or twice a week,20.0,Once or twice a week,25.0,More than once or twice a week
6297742624161792,29,f,False,False,0.0,Never,0.0,Never,0.0,Once or twice a week
6302528425689088,29,m,False,False,1.0,Once or twice a year,0.0,Less than once or twice a year,1.0,Once or twice a year
6593752978161664,29,m,False,False,0.0,Never,0.0,Never,0.0,Never
4589928805564416,30,m,False,False,15.0,More than once or twice a week,0.0,Never,14.0,More than once or twice a week
4902656044695552,30,f,False,False,3.0,Once or twice a month,3.0,Once or twice a year,15.0,More than once or twice a week
